image_name,category,nucleus_id,centroid_x_px,centroid_y_px,centroid_x_um,centroid_y_um,area_px,area_um2,perimeter_px,perimeter_um,circularity,eccentricity,solidity,major_axis_um,minor_axis_um,aspect_ratio,extent,equivalent_diameter_um,bbox_ymin,bbox_xmin,bbox_ymax,bbox_xmax,orientation_rad
FL_examples (1),follicular_lymphoma,14,189.42,22.59,87.14,10.39,92,19.467,35.8,16.468,0.9021,0.4339,0.902,5.296,4.771,1.1099,0.697,4.979,17,185,29,196,0.1132
FL_examples (1),follicular_lymphoma,15,46.6,23.73,21.43,10.92,144,30.47,46.04,21.179,0.8536,0.6267,0.9172,7.109,5.54,1.2833,0.6857,6.229,17,40,31,55,1.0309
FL_examples (1),follicular_lymphoma,16,126.26,24.97,58.08,11.49,77,16.293,30.73,14.135,1.0,0.3776,0.9277,4.754,4.402,1.0799,0.77,4.555,20,122,30,132,-0.8323
FL_examples (1),follicular_lymphoma,17,203.02,27.51,93.39,12.65,199,42.108,60.08,27.635,0.6929,0.7385,0.8728,9.307,6.275,1.4832,0.6219,7.322,17,196,37,212,-0.2343
FL_examples (1),follicular_lymphoma,18,69.5,26.78,31.97,12.32,153,32.375,55.46,25.51,0.6252,0.856,0.8095,9.7,5.015,1.9341,0.6071,6.42,21,62,35,80,-1.1381
FL_examples (1),follicular_lymphoma,19,88.09,29.0,40.52,13.34,103,21.795,36.97,17.006,0.947,0.5265,0.945,5.765,4.902,1.1762,0.7203,5.268,24,83,35,96,-0.9952
FL_examples (1),follicular_lymphoma,20,4.23,28.58,1.95,13.15,91,19.256,46.94,21.59,0.5191,0.8531,0.7845,7.667,4.0,1.9167,0.517,4.951,20,0,36,11,0.6198
FL_examples (1),follicular_lymphoma,21,148.6,29.8,68.36,13.71,15,3.174,12.24,5.632,1.0,0.7559,0.9375,2.514,1.646,1.5275,0.75,2.01,28,147,33,151,0.3218
FL_examples (1),follicular_lymphoma,22,29.55,33.41,13.59,15.37,98,20.737,37.97,17.466,0.8542,0.7764,0.9333,6.6,4.16,1.5867,0.6533,5.138,27,24,42,34,0.0421
FL_examples (1),follicular_lymphoma,23,161.12,31.68,74.11,14.57,102,21.583,34.97,16.086,1.0,0.4171,0.9714,5.505,5.003,1.1003,0.7727,5.242,26,156,38,167,-0.4698
FL_examples (1),follicular_lymphoma,24,134.27,33.91,61.76,15.6,129,27.296,44.21,20.338,0.8293,0.4161,0.9085,6.228,5.663,1.0997,0.7088,5.895,28,128,41,142,-1.2718
FL_examples (1),follicular_lymphoma,25,180.38,33.73,82.97,15.52,100,21.16,41.21,18.958,0.7398,0.7735,0.8929,6.658,4.22,1.5779,0.5952,5.191,28,174,40,188,0.8288
FL_examples (1),follicular_lymphoma,26,169.86,35.98,78.13,16.55,84,17.774,32.38,14.897,1.0,0.4668,0.9545,5.096,4.507,1.1308,0.6942,4.757,31,165,42,176,-0.052
FL_examples (1),follicular_lymphoma,27,18.67,39.24,8.59,18.05,89,18.832,37.63,17.309,0.7899,0.8547,0.8812,6.897,3.581,1.9262,0.5298,4.897,34,12,46,26,0.8843
FL_examples (1),follicular_lymphoma,28,75.41,41.35,34.69,19.02,211,44.648,71.94,33.093,0.5123,0.5041,0.8903,8.454,7.302,1.1579,0.7301,7.54,33,67,50,84,-0.8408
FL_examples (1),follicular_lymphoma,29,104.77,38.23,48.2,17.59,294,62.21,82.22,37.821,0.5465,0.722,0.8376,11.165,7.725,1.4453,0.6074,8.9,28,94,50,116,0.839
FL_examples (1),follicular_lymphoma,30,196.06,45.51,90.19,20.93,168,35.549,72.36,33.283,0.4033,0.7758,0.8317,9.089,5.735,1.5849,0.7368,6.728,37,191,56,203,-0.0679
FL_examples (1),follicular_lymphoma,31,57.84,43.88,26.61,20.19,102,21.583,35.21,16.198,1.0,0.5168,0.9623,5.676,4.859,1.1681,0.7133,5.242,38,53,51,64,0.1985
FL_examples (1),follicular_lymphoma,32,217.6,43.26,100.09,19.9,121,25.604,43.73,20.115,0.7952,0.6346,0.8832,6.648,5.137,1.294,0.7202,5.71,38,210,50,224,-0.7914
FL_examples (1),follicular_lymphoma,33,95.65,45.06,44.0,20.73,94,19.89,35.56,16.356,0.9343,0.4802,0.9126,5.42,4.754,1.14,0.7121,5.032,40,90,51,102,1.2376
FL_examples (1),follicular_lymphoma,34,184.66,47.08,84.94,21.66,91,19.256,33.8,15.548,1.0,0.4206,0.9479,5.204,4.721,1.1023,0.7521,4.951,42,180,53,191,-0.6678
FL_examples (1),follicular_lymphoma,35,152.53,47.92,70.16,22.04,36,7.618,20.49,9.423,1.0,0.6136,0.9,3.519,2.778,1.2664,0.75,3.114,44,150,52,156,0.1345
FL_examples (1),follicular_lymphoma,36,163.33,48.4,75.13,22.27,124,26.238,41.56,19.116,0.9023,0.7613,0.9466,7.251,4.702,1.5422,0.7381,5.78,42,158,56,170,0.5688
FL_examples (1),follicular_lymphoma,37,124.99,47.45,57.5,21.83,127,26.873,56.04,25.779,0.5082,0.9224,0.8194,10.032,3.875,2.5886,0.504,5.849,40,117,54,135,1.0775
FL_examples (1),follicular_lymphoma,38,40.17,51.88,18.48,23.87,134,28.354,47.25,21.734,0.7543,0.6325,0.8874,6.946,5.38,1.291,0.6872,6.008,46,33,59,48,1.2578
FL_examples (1),follicular_lymphoma,39,140.53,55.64,64.64,25.59,130,27.508,48.63,22.369,0.6909,0.7746,0.9286,7.523,4.758,1.5811,0.7222,5.918,50,134,62,149,1.0717
FL_examples (1),follicular_lymphoma,40,210.71,54.36,96.93,25.0,59,12.484,28.38,13.057,0.9202,0.6092,0.9077,4.573,3.627,1.261,0.596,3.987,51,206,60,217,-1.0259
FL_examples (1),follicular_lymphoma,41,52.2,56.62,24.01,26.04,84,17.774,38.42,17.673,0.7151,0.6396,0.8571,5.737,4.41,1.3009,0.5385,4.757,51,47,63,60,1.0484
FL_examples (1),follicular_lymphoma,42,112.28,57.46,51.65,26.43,113,23.911,38.38,17.657,0.9638,0.6198,0.9339,6.259,4.912,1.2743,0.7338,5.518,52,106,63,120,1.387
FL_examples (1),follicular_lymphoma,43,176.24,58.59,81.07,26.95,128,27.085,46.97,21.606,0.7291,0.8924,0.9078,8.868,4.002,2.2159,0.7901,5.872,55,168,64,186,-1.4846
FL_examples (1),follicular_lymphoma,44,10.77,61.47,4.95,28.28,125,26.45,42.97,19.766,0.8507,0.7416,0.9259,7.254,4.867,1.4906,0.6944,5.803,55,5,70,17,0.4399
FL_examples (1),follicular_lymphoma,45,70.24,60.3,32.31,27.74,84,17.774,31.56,14.516,1.0,0.4568,0.9545,5.053,4.495,1.1242,0.7636,4.757,56,65,66,76,-1.5257
FL_examples (1),follicular_lymphoma,46,127.72,60.77,58.75,27.95,100,21.16,35.31,16.244,1.0,0.5037,0.9615,5.618,4.853,1.1576,0.8333,5.191,56,122,66,134,-1.3075
FL_examples (1),follicular_lymphoma,47,25.98,60.8,11.95,27.97,112,23.699,37.56,17.276,0.9978,0.3941,0.9412,5.744,5.279,1.0881,0.7832,5.493,56,20,67,33,1.4236
FL_examples (1),follicular_lymphoma,48,153.88,61.4,70.78,28.24,98,20.737,36.73,16.895,0.9129,0.6085,0.9159,5.849,4.642,1.2602,0.7424,5.138,57,148,68,160,1.1699
FL_examples (1),follicular_lymphoma,49,40.72,63.91,18.73,29.4,123,26.027,47.87,22.02,0.6745,0.8432,0.8723,8.095,4.352,1.8601,0.5256,5.757,58,33,71,51,-1.0494
FL_examples (1),follicular_lymphoma,50,89.39,68.66,41.12,31.58,198,41.897,56.87,26.16,0.7693,0.7133,0.8879,9.079,6.363,1.4269,0.6513,7.304,60,82,79,98,-0.4044
FL_examples (1),follicular_lymphoma,51,117.13,68.47,53.88,31.5,38,8.041,21.66,9.962,1.0,0.7392,0.9268,3.929,2.646,1.4848,0.7917,3.2,65,115,73,121,0.2493
FL_examples (1),follicular_lymphoma,52,63.51,70.1,29.21,32.25,59,12.484,34.97,16.086,0.6063,0.8586,0.7564,5.931,3.041,1.9505,0.5364,3.987,65,58,75,69,0.9008
FL_examples (1),follicular_lymphoma,53,199.97,70.72,91.98,32.53,29,6.136,18.9,8.694,1.0,0.6504,0.9062,3.274,2.487,1.3165,0.6042,2.795,67,197,75,203,-0.0071
FL_examples (1),follicular_lymphoma,54,219.11,66.68,100.79,30.67,179,37.876,56.56,26.016,0.7032,0.9017,0.9086,10.849,4.691,2.3129,0.716,6.944,53,214,78,224,-0.1142
FL_examples (1),follicular_lymphoma,55,186.39,74.22,85.74,34.14,79,16.716,30.14,13.865,1.0,0.2063,0.9634,4.665,4.565,1.022,0.79,4.613,70,182,80,192,-1.3474
FL_examples (1),follicular_lymphoma,56,26.74,75.11,12.3,34.55,93,19.679,33.56,15.436,1.0,0.734,0.9789,6.069,4.122,1.4723,0.7949,5.006,71,21,80,34,1.3417
FL_examples (1),follicular_lymphoma,57,45.75,75.42,21.05,34.69,108,22.853,36.97,17.006,0.9929,0.678,0.9558,6.336,4.657,1.3605,0.7552,5.394,69,41,82,52,0.3146
FL_examples (1),follicular_lymphoma,58,143.24,77.81,65.89,35.79,72,15.235,46.01,21.163,0.4275,0.4427,0.7129,5.355,4.802,1.1152,0.5455,4.404,73,138,84,150,0.6745
FL_examples (1),follicular_lymphoma,59,12.45,78.65,5.72,36.18,110,23.276,47.21,21.718,0.6201,0.8648,0.8594,8.007,4.02,1.9916,0.5641,5.444,72,6,87,19,-0.736
FL_examples (1),follicular_lymphoma,60,123.35,79.89,56.74,36.75,232,49.091,64.87,29.84,0.6928,0.7523,0.8788,10.092,6.649,1.5178,0.6905,7.906,71,113,87,134,-1.3802
FL_examples (1),follicular_lymphoma,61,76.17,82.11,35.04,37.77,103,21.795,38.38,17.657,0.8785,0.5646,0.9196,6.021,4.969,1.2116,0.6688,5.268,76,70,87,84,1.4141
FL_examples (1),follicular_lymphoma,62,100.67,83.92,46.31,38.6,95,20.102,36.14,16.625,0.9139,0.6989,0.9314,6.088,4.354,1.3982,0.7197,5.059,78,96,90,107,0.5632
FL_examples (1),follicular_lymphoma,63,195.09,83.97,89.74,38.63,99,20.948,34.97,16.086,1.0,0.2538,0.9429,5.269,5.096,1.0339,0.75,5.165,78,190,90,201,-0.2326
FL_examples (1),follicular_lymphoma,64,180.7,84.6,83.12,38.92,40,8.464,25.49,11.723,0.7739,0.8634,0.8333,4.928,2.487,1.982,0.6061,3.283,82,175,88,186,1.2719
FL_examples (1),follicular_lymphoma,65,207.27,84.69,95.34,38.96,152,32.163,52.59,24.192,0.6906,0.6958,0.8444,7.852,5.64,1.3923,0.6387,6.399,76,201,93,215,-0.0368
FL_examples (1),follicular_lymphoma,66,89.49,87.5,41.16,40.25,113,23.911,43.21,19.878,0.7604,0.8644,0.8898,7.865,3.954,1.9891,0.5885,5.518,82,82,94,98,1.0057
FL_examples (1),follicular_lymphoma,67,5.75,92.83,2.65,42.7,36,7.618,27.11,12.469,0.6157,0.7251,0.9231,3.992,2.749,1.4522,0.7347,3.114,90,3,97,10,-0.8065
FL_examples (1),follicular_lymphoma,68,157.3,90.53,72.36,41.65,103,21.795,37.8,17.388,0.9059,0.7314,0.9279,6.434,4.388,1.4664,0.6603,5.268,84,152,97,164,-0.4948
FL_examples (1),follicular_lymphoma,69,116.49,98.88,53.59,45.48,195,41.262,62.46,28.73,0.6282,0.8621,0.8744,10.519,5.33,1.9737,0.5702,7.248,90,107,108,126,-0.7752
FL_examples (1),follicular_lymphoma,70,39.55,96.68,18.19,44.47,99,20.948,41.31,19.004,0.7289,0.8138,0.8919,7.072,4.11,1.7207,0.7615,5.165,93,34,103,47,-1.2373
FL_examples (1),follicular_lymphoma,71,53.53,95.49,24.63,43.93,210,44.436,67.11,30.872,0.5859,0.6359,0.8203,9.156,7.066,1.2957,0.6502,7.522,86,46,105,63,0.2804
FL_examples (1),follicular_lymphoma,72,79.17,95.75,36.42,44.04,103,21.795,37.21,17.118,0.9347,0.6768,0.9279,6.219,4.578,1.3584,0.6688,5.268,91,72,102,86,1.1165
FL_examples (1),follicular_lymphoma,73,141.75,99.2,65.21,45.63,114,24.122,38.97,17.926,0.9433,0.6915,0.9344,6.558,4.737,1.3844,0.7308,5.542,94,136,106,149,1.1174
FL_examples (1),follicular_lymphoma,74,175.74,99.55,80.84,45.79,86,18.198,44.04,20.259,0.5572,0.9032,0.9053,7.674,3.294,2.3297,0.5513,4.814,94,170,107,182,0.6985
FL_examples (1),follicular_lymphoma,75,7.35,104.21,3.38,47.94,101,21.372,36.38,16.737,0.9587,0.7851,0.9712,6.65,4.119,1.6147,0.7014,5.216,99,2,111,14,-0.8077
FL_examples (1),follicular_lymphoma,76,165.61,104.27,76.18,47.97,84,17.774,35.21,16.198,0.8513,0.7192,0.913,5.854,4.067,1.4393,0.5874,4.757,99,160,110,173,1.0623
FL_examples (1),follicular_lymphoma,77,22.67,106.09,10.43,48.8,76,16.082,30.97,14.246,0.9957,0.5395,0.9268,4.937,4.157,1.1876,0.6909,4.525,102,18,112,29,1.0428
FL_examples (1),follicular_lymphoma,78,217.45,104.83,100.03,48.22,139,29.412,52.04,23.939,0.6449,0.5407,0.9329,6.809,5.728,1.1887,0.7637,6.12,98,211,112,224,0.8093
FL_examples (1),follicular_lymphoma,79,54.51,109.71,25.08,50.46,119,25.18,40.52,18.64,0.9108,0.5642,0.9444,6.322,5.22,1.2112,0.8322,5.662,104,49,117,60,-0.0136
FL_examples (1),follicular_lymphoma,80,91.74,109.61,42.2,50.42,140,29.624,45.21,20.798,0.8606,0.7382,0.9333,7.638,5.153,1.4823,0.6667,6.142,103,85,118,99,0.7656
FL_examples (1),follicular_lymphoma,81,196.0,110.15,90.16,50.67,85,17.986,32.49,14.943,1.0,0.691,0.9659,5.642,4.079,1.3833,0.8586,4.785,106,191,115,202,1.2031
FL_examples (1),follicular_lymphoma,82,39.71,109.87,18.27,50.54,103,21.795,37.8,17.388,0.9059,0.7041,0.9196,6.332,4.496,1.4082,0.6688,5.268,103,34,117,45,-0.061
FL_examples (1),follicular_lymphoma,83,109.68,114.28,50.45,52.57,104,22.006,35.8,16.468,1.0,0.5458,0.9541,5.798,4.858,1.1934,0.7273,5.293,109,104,120,117,1.341
FL_examples (1),follicular_lymphoma,84,124.0,114.21,57.04,52.54,107,22.641,42.14,19.385,0.7571,0.5608,0.877,6.201,5.134,1.2078,0.7431,5.369,108,118,120,130,-0.1542
FL_examples (1),follicular_lymphoma,85,72.09,107.49,33.16,49.45,294,62.21,113.91,52.399,0.2847,0.9188,0.695,17.252,6.809,2.5336,0.4421,8.9,89,64,124,83,0.2578
FL_examples (1),follicular_lymphoma,86,150.11,117.43,69.05,54.02,94,19.89,35.31,16.244,0.9472,0.7566,0.9307,6.27,4.099,1.5294,0.8034,5.032,111,146,124,155,0.1011
FL_examples (1),follicular_lymphoma,87,201.54,119.78,92.71,55.1,128,27.085,43.01,19.783,0.8697,0.4446,0.8951,6.287,5.632,1.1164,0.7033,5.872,114,195,127,209,-0.8635
FL_examples (1),follicular_lymphoma,88,177.66,122.56,81.73,56.38,119,25.18,47.87,22.02,0.6526,0.5775,0.8686,6.621,5.405,1.2249,0.5667,5.662,117,172,131,187,1.1975
FL_examples (1),follicular_lymphoma,89,13.27,121.29,6.1,55.79,93,19.679,34.97,16.086,0.9556,0.7169,0.93,6.028,4.203,1.4343,0.7045,5.006,116,8,128,19,-0.4839
FL_examples (1),follicular_lymphoma,90,90.05,123.24,41.42,56.69,153,32.375,66.11,30.412,0.4399,0.9353,0.7537,12.125,4.289,2.8269,0.4904,6.42,117,81,130,105,1.3212
FL_examples (1),follicular_lymphoma,91,140.15,120.1,64.47,55.25,106,22.43,43.63,20.069,0.6998,0.8583,0.8618,7.772,3.988,1.9488,0.5521,5.344,112,135,128,147,0.5523
FL_examples (1),follicular_lymphoma,92,217.45,123.59,100.03,56.85,93,19.679,36.97,17.006,0.855,0.7321,0.9029,6.239,4.25,1.468,0.6503,5.006,119,211,130,224,1.0292
FL_examples (1),follicular_lymphoma,93,26.56,125.85,12.22,57.89,128,27.085,40.14,18.465,0.9982,0.5616,0.9552,6.487,5.367,1.2086,0.8205,5.872,120,21,133,33,-0.4934
FL_examples (1),follicular_lymphoma,94,48.9,125.89,22.49,57.91,81,17.14,36.38,16.737,0.7689,0.7475,0.9,5.97,3.966,1.5053,0.6136,4.671,120,43,132,54,-0.7151
FL_examples (1),follicular_lymphoma,95,125.01,128.65,57.51,59.18,91,19.256,36.73,16.895,0.8477,0.7375,0.91,6.124,4.136,1.4808,0.7583,4.951,123,120,135,130,-0.2779
FL_examples (1),follicular_lymphoma,96,161.75,129.86,74.41,59.74,160,33.856,74.43,34.236,0.363,0.8718,0.8696,10.075,4.936,2.0411,0.5333,6.566,123,153,138,173,0.9734
FL_examples (1),follicular_lymphoma,97,111.47,131.81,51.27,60.63,150,31.74,49.63,22.829,0.7653,0.767,0.9202,8.023,5.148,1.5586,0.6696,6.357,125,104,139,120,-0.8949
FL_examples (1),follicular_lymphoma,98,38.66,136.2,17.78,62.65,112,23.699,46.28,21.291,0.657,0.9104,0.8485,8.96,3.708,2.4167,0.4667,5.493,129,32,144,48,0.7771
FL_examples (1),follicular_lymphoma,99,74.5,133.76,34.27,61.53,127,26.873,45.21,20.798,0.7807,0.6966,0.8759,7.018,5.035,1.3938,0.648,5.849,127,68,141,82,0.6341
FL_examples (1),follicular_lymphoma,100,140.5,135.54,64.63,62.35,129,27.296,57.42,26.413,0.4917,0.8094,0.7725,8.58,5.039,1.7028,0.5119,5.895,127,133,145,147,-0.4453
FL_examples (1),follicular_lymphoma,101,181.52,133.8,83.5,61.55,145,30.682,63.98,29.429,0.4452,0.3981,0.8192,6.977,6.4,1.0901,0.5017,6.25,125,173,142,190,-0.5549
FL_examples (1),follicular_lymphoma,102,86.26,136.35,39.68,62.72,157,33.221,48.63,22.369,0.8343,0.4635,0.9075,7.067,6.262,1.1285,0.801,6.504,130,80,144,94,0.0053
FL_examples (1),follicular_lymphoma,103,54.53,140.52,25.08,64.64,156,33.01,68.15,31.348,0.4221,0.919,0.8342,10.83,4.269,2.5369,0.437,6.483,132,44,149,65,-0.9195
FL_examples (1),follicular_lymphoma,104,95.76,142.15,44.05,65.39,165,34.914,55.11,25.352,0.6826,0.8694,0.8549,9.837,4.86,2.0238,0.5392,6.667,134,88,152,105,-0.6621
FL_examples (1),follicular_lymphoma,105,152.6,137.96,70.2,63.46,96,20.314,34.97,16.086,0.9865,0.7225,0.9697,6.161,4.26,1.4463,0.7273,5.086,132,148,144,159,0.6623
FL_examples (1),follicular_lymphoma,106,195.66,138.91,90.0,63.9,74,15.658,45.46,20.91,0.4501,0.9443,0.7551,8.656,2.848,3.0388,0.3776,4.465,132,189,146,203,-0.7036
FL_examples (1),follicular_lymphoma,107,123.0,142.89,56.58,65.73,92,19.467,35.94,16.53,0.8953,0.7059,0.92,5.967,4.226,1.4118,0.7077,4.979,138,117,148,130,-1.0544
FL_examples (1),follicular_lymphoma,108,205.04,139.29,94.32,64.07,117,24.757,58.53,26.922,0.4292,0.8093,0.6923,8.814,5.178,1.7023,0.4062,5.614,131,197,147,215,-0.6621
FL_examples (1),follicular_lymphoma,109,11.95,144.08,5.5,66.28,193,40.839,58.76,27.031,0.7023,0.8327,0.8977,9.834,5.445,1.806,0.7423,7.211,138,2,151,22,-1.4022
FL_examples (1),follicular_lymphoma,110,31.7,147.77,14.58,67.98,92,19.467,34.14,15.705,0.9918,0.4853,0.9485,5.345,4.673,1.1437,0.7603,4.979,143,27,154,38,1.0531
FL_examples (1),follicular_lymphoma,111,211.94,150.53,97.49,69.25,90,19.044,35.56,16.356,0.8946,0.8257,0.9375,6.666,3.76,1.7727,0.6923,4.924,145,207,158,217,0.5113
FL_examples (1),follicular_lymphoma,112,166.25,151.47,76.48,69.68,91,19.256,35.21,16.198,0.9222,0.6718,0.91,5.811,4.305,1.3499,0.65,4.951,147,160,157,174,1.5338
FL_examples (1),follicular_lymphoma,113,66.96,151.78,30.8,69.82,103,21.795,35.56,16.356,1.0,0.3726,0.9537,5.485,5.09,1.0776,0.7803,5.268,147,61,158,73,-1.0492
FL_examples (1),follicular_lymphoma,114,152.93,155.74,70.35,71.64,107,22.641,38.73,17.815,0.8965,0.797,0.9469,7.047,4.256,1.6559,0.7643,5.369,150,149,164,159,-0.3767
FL_examples (1),follicular_lymphoma,115,191.05,154.04,87.88,70.86,192,40.627,83.63,38.471,0.3449,0.8933,0.8276,11.598,5.214,2.2247,0.64,7.192,149,180,161,205,-1.4836
FL_examples (1),follicular_lymphoma,116,136.33,157.13,62.71,72.28,76,16.082,31.8,14.628,0.9445,0.5594,0.9383,5.039,4.176,1.2064,0.6333,4.525,152,131,164,141,0.2757
FL_examples (1),follicular_lymphoma,117,117.63,157.25,54.11,72.34,210,44.436,75.11,34.552,0.4677,0.8093,0.7985,10.586,6.218,1.7025,0.6667,7.522,148,110,169,125,-0.0973
FL_examples (1),follicular_lymphoma,118,32.23,159.17,14.83,73.22,109,23.064,39.21,18.038,0.8908,0.7585,0.9237,6.774,4.415,1.5345,0.6606,5.419,154,25,165,40,-1.4321
FL_examples (1),follicular_lymphoma,119,102.08,159.11,46.95,73.19,53,11.215,25.56,11.756,1.0,0.6731,0.9138,4.448,3.289,1.3522,0.6543,3.779,155,98,164,107,0.9463
FL_examples (1),follicular_lymphoma,120,53.21,159.95,24.48,73.57,91,19.256,34.73,15.975,0.9482,0.7564,0.9286,6.146,4.02,1.5289,0.7778,4.951,156,47,165,60,1.3252
FL_examples (1),follicular_lymphoma,121,201.71,161.9,92.79,74.47,86,18.198,35.8,16.468,0.8433,0.8254,0.9149,6.464,3.649,1.7714,0.6014,4.814,157,196,168,209,-1.1018
FL_examples (1),follicular_lymphoma,122,70.24,165.67,32.31,76.21,88,18.621,32.38,14.897,1.0,0.5499,0.9565,5.33,4.452,1.1973,0.7333,4.869,161,65,171,77,1.4674
FL_examples (1),follicular_lymphoma,123,92.17,165.59,42.4,76.17,59,12.484,26.49,12.183,1.0,0.5312,0.9365,4.335,3.673,1.1803,0.8194,3.987,162,88,170,97,-1.1252
FL_examples (1),follicular_lymphoma,124,172.39,166.13,79.3,76.42,113,23.911,38.38,17.657,0.9638,0.2681,0.9417,5.633,5.427,1.038,0.7847,5.518,161,167,173,179,-1.1603
FL_examples (1),follicular_lymphoma,125,140.57,167.99,64.66,77.27,68,14.389,33.56,15.436,0.7589,0.7997,0.8947,5.712,3.429,1.6657,0.6869,4.28,163,136,174,145,0.4713
FL_examples (1),follicular_lymphoma,126,160.5,170.36,73.83,78.37,78,16.505,30.14,13.865,1.0,0.5681,0.963,5.055,4.16,1.2151,0.78,4.584,166,156,176,166,0.8582
FL_examples (1),follicular_lymphoma,127,34.87,171.25,16.04,78.77,61,12.908,29.31,13.484,0.8921,0.6142,0.8841,4.709,3.716,1.2672,0.6778,4.054,167,30,176,40,-0.8307
FL_examples (1),follicular_lymphoma,128,214.07,170.11,98.47,78.25,212,44.859,74.53,34.282,0.4796,0.8293,0.7881,11.302,6.316,1.7895,0.5521,7.558,162,200,178,224,-1.2698
FL_examples (1),follicular_lymphoma,129,130.12,172.27,59.86,79.25,66,13.966,27.73,12.755,1.0,0.4589,0.9429,4.48,3.98,1.1255,0.7333,4.217,168,126,178,135,-0.7729
FL_examples (1),follicular_lymphoma,130,107.59,174.75,49.49,80.39,104,22.006,36.38,16.737,0.9872,0.6692,0.9455,6.186,4.597,1.3457,0.7273,5.293,170,101,181,114,1.191
FL_examples (1),follicular_lymphoma,131,14.8,174.23,6.81,80.14,155,32.798,52.63,24.209,0.7033,0.8217,0.9281,8.708,4.964,1.7544,0.7598,6.462,166,9,183,21,-0.3163
FL_examples (1),follicular_lymphoma,132,93.22,179.18,42.88,82.42,119,25.18,49.66,22.845,0.6063,0.7112,0.8881,6.965,4.896,1.4226,0.7212,5.662,173,88,188,99,-0.1357
FL_examples (1),follicular_lymphoma,133,187.19,178.58,86.11,82.15,118,24.969,43.21,19.878,0.7941,0.6813,0.9077,6.749,4.941,1.3661,0.7662,5.638,172,182,186,193,0.3425
FL_examples (1),follicular_lymphoma,134,44.25,180.7,20.36,83.12,107,22.641,37.8,17.388,0.9411,0.7036,0.9469,6.453,4.586,1.4073,0.6948,5.369,175,38,186,52,1.1235
FL_examples (1),follicular_lymphoma,135,56.41,177.82,25.95,81.8,180,38.088,61.94,28.493,0.5896,0.7894,0.8531,9.193,5.643,1.6291,0.6667,6.964,169,50,187,65,0.428
FL_examples (1),follicular_lymphoma,136,76.49,181.16,35.19,83.33,106,22.43,38.14,17.545,0.9156,0.6642,0.9381,6.217,4.648,1.3376,0.7413,5.344,176,70,187,83,-1.0683
FL_examples (1),follicular_lymphoma,137,143.22,180.94,65.88,83.23,87,18.409,32.97,15.166,1.0,0.5332,0.9355,5.272,4.46,1.182,0.725,4.841,175,139,187,149,-0.0887
